qa_id,question,expected_answer,source_text,target_text,1_question_valid,2_needed,3_answer_correct,4_final_decision,5_comment
174b3429-c5e6-4dfb-b4cd-f415b433ba75,How do Securities get added to the Official List if the agreement was made before admission?,The Regulator must publish the admission on the ADGM website after the agreement is disclosed in the Approved Prospectus.,"An issue of Securities under an agreement to issue Securities, where the Listed Entity must have entered into the agreement: (a) before its Securities were admitted to the Official List, and disclosed the existence and material terms of the Convertible Securities in its Approved Prospectus or documents lodged with the Regulator under Rule 2.4.3; or (b) after its Securities were admitted to the Official List, and complied with the Rules when it did so.",Listing application. An admission of Securities to the Official List becomes effective only when the Regulator has published the admission by adding such Securities to the Official List on the ADGM website.,,,,,
1f435e44-227a-4056-a741-1e0f4f1dbad7,What must happen for a Listed Entity's Securities from Convertible Securities to be listed on the ADGM website?,The Regulator must publish the admission on the ADGM website.,"An issue of Securities as a result of the conversion of Convertible Securities. The Listed Entity must have issued the Convertible Securities: (a) before its Securities were admitted to the Official List, and disclosed the existence and material terms of the Convertible Securities in its Approved Prospectus or documents lodged with the Regulator under Rule 2.4.3; or (b) after its Securities were admitted to the Official List, and complied with the Rules when it did so.",Listing application. An admission of Securities to the Official List becomes effective only when the Regulator has published the admission by adding such Securities to the Official List on the ADGM website.,,,,,
355d75d2-9899-40a4-9c79-ef49143ba78d,Can a Recognised Investment Exchange use a Recognised Clearing House to handle transaction settlements?,"Yes, if satisfactory arrangements are made for clearing and settling transactions.",The engagement of a Recognised Clearing House or Remote Clearing House will be deemed sufficient to satisfy Rule 3.8.1.,"A Recognised Investment Exchange, when engaging a Clearing Service, must ensure that satisfactory arrangements are made for securing the timely discharge (whether by performance, compromise or otherwise), Clearing and settlement of the rights and liabilities of the parties to transactions effected on the Recognised Investment Exchange (being rights and liabilities in relation to those transactions).",,,,,
3f73253a-ed39-4f89-8f4f-722d72641dd8,When does an Authorised Person need to check a Retail Client's ability to handle risks with OTC Leveraged Products?,They need to check every year or if the client's financial situation changes a lot.,"The assessment required by Rule 23.5.1 must be reassessed by an Authorised Person: (a) on an annual basis; or (b) where there is any material change in the financial situation or risk tolerance of the Retail Client, if that change occurs prior to the annual reassessment.","An Authorised Person must not offer OTC Leveraged Products to a Retail Client, or provide any advice or make arrangements on behalf of a Retail Client relating to OTC Leveraged Products unless it has first completed an assessment of the skill, experience, knowledge, financial resources and risk tolerance of the Retail Client, such that the Authorised Person may reasonably conclude that the Retail Client has: (a) adequate experience and skill enabling them to understand the potential risk of loss involved in investing in OTC Leveraged Products; and (b) liquid financial resources sufficient to absorb potential losses resulting from trading in OTC Leveraged Products.",,,,,
401843ed-952a-4679-9132-bbc4fe80d210,How does an Authorised Person decide the risk weight for a past due CR Exposure if using the FCSA method?,"They use 150% if provisions are under 20%, and 100% if provisions are 20% or more.","Past due Exposures. For the purposes of Rule 4.12.24, an Authorised Person must calculate the unsecured portion of any CR Exposure that is past due for more than 90 days as follows: (a) for an Authorised Person using the FCSA: Unsecured Portion = E P Cf where: (i) E = E calculated in accordance with Section 4.9; (ii) P = notional amount of eligible credit protection received; and (iii) Cf = fair value of eligible financial Collateral received; or (b) for an Authorised Person using the FCCA: Unsecured Portion = E* P where: (i) E* = E* calculated in accordance with Section 4.9; and (ii) P = notional amount of eligible credit protection received.","Past due Exposures. Subject to Rules 4.12.25 and 4.12.26, an Authorised Person must risk weight the unsecured portion of any CR Exposure that is past due for more than 90 days in accordance with the following table. Risk weights for past due Exposures /Table Start Condition Risk Weight Where specific provisions are less than 20% of the outstanding amount of the Exposure 150% Where specific provisions are no less than 20% of the outstanding amount of the Exposure 100% /Table End",,,,,
4147a834-f98e-4baa-a42b-7c5d83c0259e,Do MTFs using Virtual Assets have to tell the Regulator about new Key Individuals?,"Yes, MTFs using Virtual Assets must notify the Regulator about new Key Individuals.","MULTILATERAL TRADING FACILITIES AND VIRTUAL ASSETS Guidance in relation to Applicable Rules COBS Rule 17.7.4 specifies that certain notification requirements applicable to Recognised Investment Exchanges under MIR Rules 5.1, 5.3 and certain information requirements under MIR Rule 5.4.1 apply to MTFs (using Virtual Assets). These are additional requirements applicable to MTFs using Virtual Assets. MTFs using Virtual Assets will also need to comply with any other applicable notification requirements, including those set out in paragraph 29 of this Guidance in relation to the use of additional Accepted Virtual Assets.","A Recognised Body must, in the circumstances noted, notify the Regulator of the following information: /Table Start Event Timing Information Requirement Key Individuals 1. A Recognised Body proposes to appoint or elect a Person as a Key Individual. At least thirty days before appointment or election is effective. (a) Name; (b) date of birth; and (c) description of the responsibilities in the post. 2. A Person has resigned as, or has ceased to be, a Key Individual of the Recognised Body. As soon as practicable. Name. 3. A major change in responsibilities of a Key Individual is made which amounts to a new appointment. At least thirty days before change is effective. (a) Name; and (b) description of the new responsibilities. Standing committees 4. The Governing Body delegates any of its Regulatory Functions to a standing committee, or appoints a standing committee to manage or oversee the carrying out of any of that Recognised Body's Regulatory Functions. As soon as practicable. (a) Names of the members of that standing committee; and (b) the terms of reference of that standing committee (including a description of any powers delegated to that committee and any conditions or limitations placed on the exercise of those powers). 5. There is any change in the composition or the terms of reference of a standing committee or any such committee is dissolved. As soon as practicable. (a) Changes to the names of the members of that standing committee; and (b) changes to the terms of reference of that standing committee (including a description of any powers delegated to that committee and any conditions or limitations placed on the exercise of those powers). Disciplinary action and events relating to Key Individuals 6. Where any Key Individual: (a) is the subject of any disciplinary action because of concerns about his alleged misconduct; (b) resigns as a result of an investigation into his alleged misconduct; or (c) is dismissed for misconduct. As soon as practicable. (a) Name of the Key Individual and his responsibilities within the Recognised Body; (b) details of the acts or alleged acts of misconduct by that Key Individual; and (c) details of any disciplinary action which has been or is proposed to be taken by that body in relation to that Key Individual. 7. Any of the following has occurred in relation to a Key Individual: (a) a petition for bankruptcy is presented (or similar or analogous proceedings under the law of a jurisdiction outside the Abu Dhabi Global Market are commenced); (b) a bankruptcy order (or a similar or analogous order under the law of a jurisdiction outside the Abu Dhabi Global Market) is made; or (c) he enters into a voluntary arrangement (or a similar or analogous arrangement under the law of a jurisdiction outside the Abu Dhabi Global Market) with his creditors. As soon as the Recognised Body becomes aware of the relevant event. Details of the relevant event. Constitution and governance 8. A Recognised Body proposes to circulate any notice or other document proposing any amendment to its memorandum or articles of association (or other similar agreement or document relating to its constitution) to its shareholders (or any group or class of them), its Members (or any group or class of them), or any other group or class of Persons which has the power to make that amendment or whose consent or approval is required before it may be made. In advance of circulation or otherwise as soon as reasonably practicable. (a) The proposed amendments; (b) the reasons for the proposal; and (c) a description of the group or class of Persons to whom the proposal is to be circulated. 9. A change to a Recognised Body's memorandum or articles of association (or other similar agreement or document relating to its constitution) becomes effective. As soon as practicable. (a) Details of the amendment; and (b) the date on which the amendment took effect. 10. Any change is made to an agreement which relates to the constitution or governance of a Recognised Body: (a) between that Recognised Body and another Person; (b) between the owners of that Recognised Body; (c) between the owners of that Recognised Body and another Person; or (d) between other Persons. As soon as practicable. (a) Details of the change; and (b) the date on which the change took, or is to take, effect. Auditors 11. The auditors of a Recognised Body cease to act as such as per GEN 6.4. As soon as practicable. (a) Whether the appointment of those auditors expired or was terminated; (b) the date on which the auditors ceased to act; and (c) if the Recognised Body terminated, or decided not to renew, their appointment, its reasons for taking that action or decision. 12. Appointment of new auditors. As soon as practicable. (a) The name and business address of those new auditors; and (b) the date of their appointment. 13. Audit Reports as required per GEN 6.6.1 including a Regulatory Returns Auditor’s Report Within four months of the financial year to which the document relates. A copy of the relevant reports. Financial information 14. Publication of a Recognised Body's: (a) annual report and accounts; (b) consolidated annual report and accounts of any Group in which the Recognised Body is a member. The latest of: (a) four months after the end of the financial year to which the document relates; (b) the time when the document is sent to the Members or shareholders of the Recognised Body; or (c) the time when the document is sent to the shareholders of the Group to which the Recognised Body is a member. A copy of the relevant document. 15. An audit committee has prepared a report in relation to any period or any matter relating to any Regulatory Function of that Recognised Body. As soon as practicable. A copy of the relevant report. 16. A Recognised Body's: (a) quarterly management accounts; or (b) monthly management accounts. Within one month of the end of the period to which they relate. A copy of the relevant accounts. 17. Preparation of: (a) a statement of a Recognised Body's anticipated income, expenditure and cashflow for each financial year; and (b) an estimated balance sheet showing its position as it is anticipated at the end of each financial year. Before the beginning of the financial year to which they relate. A copy of the relevant document. 18. Accounting reference date is changed. As soon as practicable. New accounting reference date. Fees and incentive schemes 19. Any proposal to change the fees or charges levied on a Recognised Body's Members (or any group or class of them) is made. As close to the time when the proposal is communicated to those Members as practicable. A summary of any such proposal made. 20. Any change is made to fees or charges levied on a Recognised Body's Members (or any group or class of them) is made. No later than the date when the changes are published or notified to those Members. A summary of any such changes. Complaints 21. (a) Where a Recognised Body's complaints investigator has investigated a complaint arising in connection with the performance of, or failure to perform, any of its Regulatory Functions; and (b) that complaints investigator has made a recommendation in respect of that complaint that the Recognised Body should: (i) make a compensatory payment to any Person; or (ii) remedy the matter which was the subject of that complaint. As soon as practicable. A notification of that event. 22. When the complaints investigator's report, as referred to above, and the particulars of his recommendations are made available to the Recognised Body. As soon as practicable. (a) A copy of the complaints investigator's report; and (b) particulars of his recommendations. Insolvency events 23. On: (a) the presentation of a petition for the winding up of a Recognised Body (or the commencement of any similar or analogous proceedings under the law of a jurisdiction outside the Abu Dhabi Global Market); or (b) the appointment of a receiver, administrator, liquidator, trustee or sequestrator of assets of that body (or of any similar or analogous appointment under the laws of a jurisdiction outside the Abu Dhabi Global Market); or (c) the making of a voluntary arrangement by that body with its creditors (or of any similar or analogous arrangement under the law of a jurisdiction outside the Abu Dhabi Global Market). As soon as practicable. A notification of that event. Legal proceedings 24. If any civil or criminal legal proceedings are instituted against a Recognised Body, except where all of the conditions stated at (a) – (c) are met in respect of those proceedings: (a) the amount of damages claimed would not significantly affect that Recognised Body's financial resources, if the claim were successful; (b) the claim would not have a significant adverse effect on the reputation and standing of that body, if that claim were successful; and (c) the claim does not relate to that body's Regulatory Functions. As soon as practicable. For civil proceedings: (a) the name of the claimant; (b) particulars of the claim; (c) the amount of damages; (d) any other remedy sought by the claimant; and (e) particulars of any allegation that any act or omission of that body was in bad faith. For criminal proceedings: the particulars of the offence with which that body is charged. Delegation of Regulatory Functions 25. Where a Recognised Body makes an offer or agrees to delegate any of its Regulatory Functions to another Person in respect of any activities forming a significant part of a Regulatory Function or which make a significant contribution to the performance of a Regulatory Function of that Recognised Body. As soon as practicable. (a) The reasons for that delegation or proposed delegation; (b) the reasons why the Recognised Body is satisfied that it will continue to meet the Recognition Requirements following that delegation; (c) a copy of the invitation to tender, if the offer is made by issuing a written invitation to tender to another body or Person; and (d) a copy of the agreement, where the Recognised Body makes such an agreement. 26. A Recognised Body makes an offer or agrees to undertake any Regulatory Function of another Recognised Body in respect of any activities forming a significant part of a Regulatory Function, or which make a significant contribution to the performance of a Regulatory Function, of that other Recognised Body. As soon as practicable. A notification of that event. Products, services and normal hours of operation 27. A Recognised Body proposes to admit to trading (or to cease to admit to trading) by means of its facilities: (a) a Financial Instrument (other than a Security or an Option in relation to a Security); or (b) a type of Security or a type of Option in relation to a Security. No later than the date when the proposal is communicated to Members or shareholders. (a) A description of the Financial Instrument to which the proposal relates; (b) where that Financial Instrument is a Derivative, the proposed terms of that Derivative; and (c) in the case of a Recognised Body which is admitting that Financial Instrument to trading, the name of any Recognised Body, Remote Body or clearing house which will provide Clearing Services in respect of that Financial Instrument under an agreement with that Recognised Body, Remote Body or clearing house. 28. A Recognised Body removes a Financial Instrument from trading on a market. As soon as practicable. (a) Notice of that event; (b) relevant information including particulars of that Financial Instrument; and (c) the reasons for the action taken. 29. A Recognised Body proposes to provide (or to cease to provide) Clearing Services in respect of: (a) a Financial Instrument (other than a Security or an Option in relation to a Security); or (b) a type of Security or a type of Option in relation to a Security. As soon as practicable. (a) Notice of that event; (b) a description of the Financial Instrument to which the proposal relates; (c) where that Financial Instrument is a Derivative, the proposed terms of that Derivative; and (d) in the case of a Recognised Body which is admitting that Financial Instrument to trading, the name of any Recognised Body which will provide Clearing Services in respect of that Financial Instrument under an agreement with that Recognised Body. 30. A Recognised Body proposes to amend the standard terms of any Derivative admitted to trading by means of its facilities. As soon as practicable. (a) Notice of that event; and (b) written particulars of those proposed amendments. 31. A Recognised Body proposes to amend the standard terms relating to any Derivative in respect of which it provides Clearing Services. As soon as practicable. (a) Notice of that event; and (b) written particulars of those proposed amendments. 32. A Recognised Body proposes to make (or to cease to make) arrangements for the safeguarding and administration of assets belonging to any other Person (other than an undertaking in the same Group). As soon as practicable. (a) Notice of that event; (b) a description of the assets (or types of assets) to which the proposal relates; and (c) the date or dates on which the arrangements will be made (or cease to be made). 33. A Recognised Body proposes to change its normal hours of operation. As soon as practicable. (a) Notice of that proposal; (b) the particulars of the proposal; and (c) the reasons for the actions proposed. Suspension of services and inability to operate facilities 34. A Recognised Body: (a) suspends trading in any Derivative (other than an Option in relation to a Security), in any type of Security or in any type of Option in relation to a Security; or (b) temporarily calls a trading halt in respect of any type of Security or in any type of Option in relation to a Security. As soon as practicable. (a) Notice of that event; (b) particulars of that Derivative, type of Security or type of Option in relation to a Security, as the case may be; and (c) the reasons for the action taken. 35. A Recognised Body suspends trading on a market in any Financial Instrument. As soon as practicable. (a) Notice of that event; (b) relevant information including particulars of that Financial Instrument; and (c) the reasons for the action taken. 36. A Recognised Body suspends providing Clearing Services generally in respect of any Derivative (other than an Option in relation to a Security), type of Security or type of Option in relation to a Security. As soon as practicable. (a) Notice of that event; (b) particulars of that Derivative, type of Security or type of Option in relation to a Security, as the case may be; and (c) the reasons for the action taken. 37. A Recognised Body suspends any arrangements it makes for the safeguarding and administration of any type of asset belonging to any other Person (other than an undertaking in the same Group). As soon as practicable. (a) Notice of that event; (b) particulars of that type of asset; and (c) the reasons for the action taken. 38. A Recognised Body is unable to operate any of its facilities within its normal hours of operation, due to the occurrence of any event or circumstances. As soon as practicable. (a) Notice of that event; (b) which facility the Recognised Body is unable to operate; (c) what event or circumstance has caused it to become unable to operate that facility within those hours; and (d) what action, if any, the Recognised Body is taking or proposes to take to enable it to recommence operating that facility. 39. A Recognised Body extends its hours of operation, due to the occurrence of any event or circumstances. As soon as practicable. (a) Notice of that event; (b) what event or circumstance has caused it to do so; (c) the new hours of operation; and (d) the date on which it expects to revert to its normal hours of operation. Information technology systems 40. A Recognised Body changes any of its plans for action in the event of a failure of any of its information technology systems resulting in disruption to the operation of its facilities; unless the changes are only minor revisions to, or updating of, the documents containing a Recognised Body's business continuity plan (for example, changes to contact names or telephone numbers). As soon as practicable. (a) Notice of that event; and (b) a copy of the new plan. 41. Any reserve information technology system of a Recognised Body fails in such a way that, if the main information technology system of that body were also to fail, it would be unable to operate any of its facilities during its normal hours of operation. As soon as practicable. (a) Notice of that event; (b) what action that Recognised Body is taking to restore the operation of the reserve information technology system; and (c) when it is expected that the operation of that system will be restored. Inability to discharge Regulatory Functions 42. A Recognised Body is unable to discharge any Regulatory Function because of the occurrence of any event or circumstances. As soon as practicable. (a) Notice of that event; (b) what event or circumstances has caused it to become unable to do so; (c) which of its Regulatory Functions it is unable to discharge; and (d) what action, if any, it is taking or proposes to take to deal with the situation and, in particular, to enable it to recommence discharging that Regulatory Function. Membership 43. A Recognised Body admits a new Member. As soon as practicable. (a) Notice of that event; (b) a description of the Person whom it is admitting to membership; and (c) particulars of its reasons for considering that the Recognised Body’s membership criteria are met. 44. A Recognised Body admits for the first time a Remote Member whose head or registered office is in a jurisdiction from which that Recognised Body has not previously admitted Remote Members. As soon as practicable. (a) Notice of that event; (b) the name of that jurisdiction; (c) the name of any regulatory authority in that jurisdiction which regulates that Remote Member in respect of activities relating to Financial Instruments; and (d) particulars of its reasons for considering that, in admitting a Remote Member from that jurisdiction to membership, the Recognised Body is able to continue to satisfy the Recognition Requirements which apply to it. Investigations 45. A Recognised Body becomes aware that a Person has been appointed by any regulatory body (other than the Regulator or a Recognised Body) to investigate: (a) any business transacted by means of its facilities; or (b) any aspect of the Clearing Services which it provides. Notifications do not need to be made in respect of: (a) routine inspections or visits undertaken in the course of regular monitoring, complaints handling or as part of a series of 'theme visits'; (b) routine requests for information; or (c) investigations into the conduct of Members of the Recognised Body or of other users of its facilities where the use of its facilities is a small or incidental part of the subject matter of the investigation. As soon as practicable. Notice of that event. Disciplinary action relating to Members 46. A Recognised Body has taken any disciplinary action against any Member or any Employee of a Member, in respect of a breach of a rule relating to the carrying on by the Recognised Body of any of its Regulatory Functions. As soon as practicable. (a) Notice of that event; (b) the name of the Person concerned; (c) details of the disciplinary action taken by the Recognised Body; and (d) the Recognised Body's reasons for taking that disciplinary action. 47. An appeal is lodged against any disciplinary action taken by a Recognised Body against any Member or any Employee of a Member, in respect of a breach of a rule relating to the carrying on by the Recognised Body of any of its Regulatory Functions. As soon as practicable. (a) Notice of that event; (b) the name of the appellant; (c) the grounds on which the appeal is based; and (d) the outcome of the appeal, when known. Criminal offences and civil prohibitions 48. A Recognised Body has evidence tending to suggest that any Person has: (a) been carrying on any Regulated Activity in the Abu Dhabi Global Market in contravention of the General Prohibition; (b) been engaged in Market Abuse; committed a criminal offence under FSMR and the Rules or subordinate legislation made under the FSMR and the Rules; or (d) committed a criminal offence under the Anti-Money Laundering and Sanctions Rules (AML). As soon as practicable. (a) Notice of that event; and (b) full details of that evidence in writing. Restriction of, or instruction to close out, open positions 49. A Recognised Body decides to: (a) restrict the open position on any of the contracts of a Member; or (b) issue instructions to a Member to close out its positions on any contracts. As soon as practicable. (a) Notice of that event; (b) the Member's name; (c) the nature and size of any position to be restricted or closed out; and (d) the reasons for the Recognised Body's decision. Default 50. A Recognised Body decides to put a Member into default. As close to when such a decision is taken by a Recognised Body as practicable. (a) Notice of that event; (b) the name of the Member and (where relevant) the class of membership; (c) the reasons for that decision; and (d) the names of any other exchange, Clearing house or trading platform on which, to the best of that Recognised Body's knowledge, that Member clears business or transacts for, or in respect of, its Clients. Transfers of ownership 51. A Recognised Body becomes aware of a transfer of ownership of the Recognised Body which gives rise to a change in the Persons who are in a position to exercise significant influence over the management of the Recognised Body, whether directly or indirectly. In advance of the transfer taking place, to allow for approval under section 105 FSMR. (a) Notice of that event; (b) the name of the Person(s) concerned; and (c) the details of the transfer. Significant breaches of rules and disorderly trading conditions 52. Any of the following events arise: (a) significant breaches of a Recognised Body's rules; or (b) disorderly trading conditions on any of its markets. As soon as practicable. (a)Notice of that event; and (b) details of the event Rule changes 53. A Recognised Body issues a consultation on proposed changes to its rules or procedures. As soon as practicable. A copy of the consultation paper and accompanying documentation. 54. Changes to a Recognised Body's rules or procedures become effective. As soon as practicable. A copy of the amended rules or procedures. 55. A Recognised Body issues guidance on or a circular relating its rules or procedures. As soon as practicable. A copy of the guidance or circular. Recognised Clearing House capital 56. The amount of capital falls below the notification threshold set out in Rule ‎4.2.4. As soon as practicable. (a) The reasons for the Recognised Clearing House's capital being below the notification threshold and a description of the short-term perspective of the Recognised Clearing House's financial situation; and (b) a comprehensive description of the measures the Recognised Clearing House intends to adopt to ensure the ongoing compliance with the capital requirements. Operation of markets or MTFs/OTFs 57. A Recognised Body proposes to operate a new market (or close an existing market). No later than the date when the proposal is communicated to Members or shareholders (a) Notice of that event; (b) in the case of a Recognised Body proposing to operate a new market, a description of the market and a description of the Financial Instruments which will be admitted to trading on that market; (c) where the Recognised Body proposes to close a market, the name of that market. 58. A Recognised Body proposes to operate a new MTF/OTF (or close an existing MTF/OTF). No later than the date when the proposal is communicated to Members or shareholders (a) Notice of that event; (b) in the case of a Recognised Body proposing to operate a new MTF/OTF, a description of the MTF/OTF and a description of the Financial Instruments which will be admitted to trading on that MTF/OTF; (c) where the Recognised Body proposes to close an MTF/OTF, the name of that MTF/OTF. GEN Notifications 59. As set out in GEN 8.10.12(1), a Recognised Body becomes aware, or has information that reasonably suggests that it has, or may have: (a) provided the Regulator with information which was or may have been false, misleading, incomplete or inaccurate; or (b) changed in a material particular. Immediately it becomes aware of the information. (a) Notice of that event; (b) Details of the information; (c) Explanation of why such information was or may have been provided; (d) The correct information. 60. As set out in GEN 8.10.7, one of the following events arises in relation to its activities in or from the ADGM: (a) an Employee may have committed a fraud against one of its Customers; (b) a serious fraud has been committed against it; (c) it has reason to believe that a Person is acting with intent to commit a serious fraud against it; (d) it identifies significant irregularities in its accounting or other records, whether or not there is evidence of fraud; or (e) it suspects that one of its Employees who is Connected with the Regulated Body’s activities may be guilty of serious misconduct concerning his honesty or integrity. Immediately the Recognised Body becomes aware of the event. (a) Notice and details of the event. 61. As set out in GEN 8.10.6, a Recognised Body becomes aware, or has reasonable grounds to believe, that any of the following matters may have occurred or may be about to occur: (a) the Recognised Body’s failure to satisfy the fit and proper requirements of Rule 2.2.1; (b) any matter which could have a significant adverse effect on the Recognised Body’s reputation; (c) any matter in relation to the Recognised Body which could result in serious adverse financial consequences to the ADGM Financial System or to other Authorised Persons or Recognised Bodies; (d) a significant breach of a Rule by the Recognised Body or any of their Employees; (e) a breach by the Recognised Body or any of their Employees of any requirement imposed by any applicable law; (f) any proposed restructuring, merger, acquisition, reorganisation or business expansion which could have a significant impact on the Recognised Body’s risk profile or resources; (g) any significant failure in the Recognised Body’s systems or controls, including a failure reported to the Recognised Body by its auditor; (h) non-compliance with Rules due to an emergency outside the Recognised Body’s control and the steps being taken by the Recognised Body. Immediately it becomes aware of the information. (a) Notice and details of the event. 62. As set out in GEN 8.10.8, the: (a) granting or refusal of any application for or revocation of authorisation to carry on financial services in any jurisdiction outside the ADGM; (b) granting, withdrawal or refusal of an application for, or revocation of, membership of the Recognised Body of any Regulated Exchange or clearing house; (c) the Recognised Body becoming aware that a Non-ADGM Financial Services Regulator has started an investigation into the affairs of the Recognised Body; (d) the appointment of inspectors, howsoever named, by a Non-ADGM Financial Services Regulator to investigate the affairs of the Recognised Body; or (e) the imposition of disciplinary measures or disciplinary sanctions on the Recognised Body in relation to its financial services by any regulator or any Regulated Exchange or clearing house. Immediately. (a) Notice and details of the event. Position Limit Notifications 63. As set out in MIR 3.3.7(e), a Recognised Body becomes aware that a position limit threshold is exceeded. As soon as practicable. (a) The reason why such a large position is being held. (b) How the holding of said position furthers the participant’s or Member’s trading strategy. (c) How the position is being used for hedging and the relevant contracts being hedged against (where applicable). /Table End",,,,,
43832137-0092-41bd-8a2e-5da68ec6f22b,What fees apply to an Authorised Person with insurance permission adding a Cell?,"They pay $1,000 for each new Cell and $50,000 annually for insurance activities.","Cell Companies. An Authorised Person under Rule 3.11.2 or Rule 3.11.4 that operates as a Cell Company must pay to the Regulator an application fee of $1,000 for each Cell that it wishes to add after it has received its Financial Services Permission.","An Authorised Person with a Financial Services Permission to carry on either one or both of the Regulated Activities of Effecting Contracts of Insurance or Carrying Out Contracts of Insurance as Principal must pay to the Regulator an annual supervision fee of $50,000 for either or both Regulated Activities.",,,,,
4a8857c3-3d2f-4050-9107-fbc145fd181a,What must an Authorised Person include in the list of Client Accounts for Client Money?,"They must include account names, numbers, locations, bank details, terms, status, and dates.",The following records must be included in the Resolution Pack of an Authorised Person conducting Investment Business: (a) Rules 2.7.1 and 3.7.1(d) (records of Client classification and Client agreements); (b) Rules 14.6.2 and 15.4.3 (master lists of all Client Accounts in relation to Client Money and Client investments); (c) Rule 15.4.4 and Rule 15.4.5 (adequate records and Client's written permission re use of Client Investments); (d) Rules 14.7.1 and 14.7.4 (assessment of appropriateness of Third-Party Agent and acknowledgement by Third-Party agent in respect of Client Money); and (e) Rule 15.5.1 and 15.6.1 (assessment of appropriateness of Third Party Agent and acknowledgement by Third-Party Agent in respect of Client Investments); and (f) Rule 14.11.1 and 15.9.1 (most recent reconciliations of Client Money and Client Investments).,"An Authorised Person must maintain a master list of all Client Accounts. The master list must detail: (a) the name of the account; (b) the account number; (c) the location of the account; (d) the bank, its address and contact information; (e) the account terms and conditions; (f) whether the account is currently open or closed; and (g) the date of opening or closure.",,,,,
5b56edc3-4fd3-464f-b3bf-38d85bced30a,Can a Mining Reporting Entity use any format for Ore Reserves disclosure?,"No, they must use the specific table format and follow the Mining Reporting Standard.","Rule 11.2.1 applies to all disclosures made or required to be made under the Rules which include a statement about Exploration Targets, Exploration Results, Mineral Resources, Ore Reserves or Production Targets, including within a Prospectus, Exempt Offer document, bidders and targets statements, annual reports, financial statements, technical papers, presentations, and website content and disclosures. In order to ensure consistency of its disclosures, Issuers and Mining Reporting Entities should be mindful of the table format for disclosure of Ore Reserves and Mineral Resources set out in MKT Form-11-1.","Requirements for all disclosures. A disclosure by a Mining Reporting Entity that includes a statement about Exploration Targets, Exploration Results, Mineral Resources, Ore Reserves or Production Targets must be prepared in accordance with: (1) a Mining Reporting Standard; and (2) this chapter.",,,,,
76d1ffe2-ca22-4580-afe3-769fd0390cbc,Can the Regulator share CRD Information from an EEA Competent Authority?,"Yes, but only if the EEA Competent Authority has given written consent and it's for the agreed purpose.","The exceptions under section 199(1) of FSMR. The provisions in section 199(2) relate specifically to Confidential Information originating in another governmental or regulatory authority, or Confidential Information that is CRD Information, and provide for and are consistent with the exchange of information and professional secrecy requirements in the European Unions Capital Requirements Directive. For the purposes of section 199(2): (a) CRD Information is defined as Confidential Information received or obtained by the Regulator from the EEA Competent Authority by virtue of the Capital Requirements Directive; and (b) EEA Competent Authority means a public authority or body officially recognised by national law of a jurisdiction within the EEA and empowered by that national law to supervise institutions as part of the supervisory system.","Paragraphs (1)(b)(i), (ii), (iii), (iv), (vi) and 1(c) do not permit the Regulator to disclose Confidential Information unless the conditions in paragraphs (a) and (b) are met – (a) where the Confidential Information (in whole or in part) originates in another governmental or regulatory authority, whether in the Abu Dhabi Global Market or otherwise, the authority that has disclosed the Confidential Information to the Regulator has given its prior written consent to the disclosure; and (b) where the Confidential Information is CRD Information – (i) EEA Competent Authority that has disclosed the Confidential Information to the Regulator has given its prior written consent to the disclosure; and (ii) if such consent was given for a particular purpose, the disclosure by the Regulator is solely for that purpose.",,,,,
